2017-12-21 01:04:05 INFO  GamingEngine:41 - Ammo is created
2017-12-21 01:04:05 INFO  Controller:76 - Player is shoting Ammo
2017-12-21 01:04:05 WARN  Controller:146 - Null Pointer Exception - No more Ammo
2017-12-21 01:04:06 WARN  Controller:146 - Null Pointer Exception - No more Ammo
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  Controller:68 - Player is moving Right
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  Controller:66 - Player is moving Down
2017-12-21 01:04:06 INFO  Controller:70 - Player is moving Left
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:06 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  Controller:66 - Player is moving Down
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
2017-12-21 01:04:07 INFO  GamingEngine:283 - There is Block
